song,reentry_date,reentry_position,artist,reentry_popularity,entry_number,exit_date,last_position,days_outside,peak_rank,run_days,rank_jump_magnitude,peak_popularity,popularity_change,peak_date,days_to_peak,rank_jump_score,popularity_change_score,recovery_speed_score,momentum_spike_score,album_type,is_explicit,duration_minutes,total_tracks,first_entry_date,first_entry_position,reentry_frequency,fandom_intensity_proxy_score,post_comeback_retention_days
LOVE DIVE,2024-05-21,49.0,IVE,83.0,2,2024-05-19,48.0,1,49.0,2,0.0,83.0,0.0,2024-05-21,0,0.0,0.0,100.0,20.0,single,False,2.95,2,2024-05-18,49.0,3,34.72,2
Teddy Bear,2024-05-21,47.0,STAYC,74.0,2,2024-05-18,47.0,2,42.0,7,5.0,74.0,0.0,2024-05-22,1,12.195121951219512,0.0,99.0909090909091,25.92,single,False,3.16,2,2024-05-18,47.0,4,39.73,7
Kill Bill,2024-05-21,46.0,SZA,94.0,2,2024-05-19,46.0,1,40.0,20,6.0,94.0,0.0,2024-05-29,8,14.634146341463412,0.0,92.72727272727272,25.86,album,False,2.57,23,2024-05-18,45.0,3,36.62,20
Love Always Run Away,2024-05-23,47.0,Lim Young Woong,58.0,2,2024-05-18,50.0,4,47.0,1,0.0,58.0,0.0,2024-05-23,0,0.0,0.0,100.0,20.0,single,False,4.05,2,2024-05-18,50.0,14,51.01,1
VIBE (feat. Jimin of BTS),2024-05-24,43.0,TAEYANG,68.0,2,2024-05-22,49.0,1,35.0,12,8.0,69.0,1.0,2024-05-28,4,19.51219512195122,1.1494252873563218,96.36363636363636,29.37,album,False,2.93,6,2024-05-18,36.0,7,45.68,12
Interlude : Dive,2024-05-24,48.0,Jimin,77.0,2,2024-05-20,38.0,3,7.0,66,41.0,78.0,1.0,2024-06-25,32,100.0,1.1494252873563218,70.9090909090909,64.53,single,False,2.18,6,2024-05-18,42.0,19,79.39,66
Love Always Run Away,2024-05-25,50.0,Lim Young Woong,58.0,3,2024-05-23,47.0,1,50.0,1,0.0,58.0,0.0,2024-05-25,0,0.0,0.0,100.0,20.0,single,False,4.05,2,2024-05-18,50.0,14,51.01,1
Like Crazy (UK Garage Remix),2024-05-28,44.0,Jimin,72.0,2,2024-05-20,47.0,7,44.0,1,0.0,72.0,0.0,2024-05-28,0,0.0,0.0,100.0,20.0,single,False,3.51,5,2024-05-19,49.0,8,42.13,1
Promise,2024-05-28,45.0,Jimin,77.0,2,2024-05-20,43.0,7,45.0,1,0.0,77.0,0.0,2024-05-28,0,0.0,0.0,100.0,20.0,single,False,2.52,1,2024-05-18,48.0,9,43.61,1
Like Crazy (Deep House Remix),2024-05-28,43.0,Jimin,73.0,2,2024-05-20,46.0,7,43.0,1,0.0,73.0,0.0,2024-05-28,0,0.0,0.0,100.0,20.0,single,False,3.01,5,2024-05-19,47.0,9,43.61,1
LOVE DIVE,2024-05-29,49.0,IVE,83.0,3,2024-05-22,50.0,6,49.0,1,0.0,83.0,0.0,2024-05-29,0,0.0,0.0,100.0,20.0,single,False,2.95,2,2024-05-18,49.0,3,34.72,1
Teddy Bear,2024-05-29,45.0,STAYC,74.0,3,2024-05-27,49.0,1,45.0,1,0.0,74.0,0.0,2024-05-29,0,0.0,0.0,100.0,20.0,single,False,3.16,2,2024-05-18,47.0,4,36.2,1
Promise,2024-05-30,42.0,Jimin,77.0,3,2024-05-28,45.0,1,42.0,1,0.0,77.0,0.0,2024-05-30,0,0.0,0.0,100.0,20.0,single,False,2.52,1,2024-05-18,48.0,9,43.61,1
Like Crazy (Deep House Remix),2024-05-30,48.0,Jimin,72.0,3,2024-05-28,43.0,1,48.0,1,0.0,72.0,0.0,2024-05-30,0,0.0,0.0,100.0,20.0,single,False,3.01,5,2024-05-19,47.0,9,43.61,1
Love Always Run Away,2024-05-30,49.0,Lim Young Woong,58.0,4,2024-05-25,50.0,4,49.0,2,0.0,58.0,0.0,2024-05-30,0,0.0,0.0,100.0,20.0,single,False,4.05,2,2024-05-18,50.0,14,51.01,2
I Love You,2024-05-30,46.0,Lim Young Woong,56.0,2,2024-05-27,47.0,2,46.0,2,0.0,56.0,0.0,2024-05-30,0,0.0,0.0,100.0,20.0,album,False,3.98,12,2024-05-19,50.0,12,48.05,2
Teddy Bear,2024-05-31,48.0,STAYC,74.0,4,2024-05-29,45.0,1,48.0,3,0.0,74.0,0.0,2024-05-31,0,0.0,0.0,100.0,20.0,single,False,3.16,2,2024-05-18,47.0,4,36.2,3
Candy (Feat. Zion.T),2024-05-31,47.0,Jay Park,62.0,2,2024-05-28,49.0,2,45.0,2,2.0,63.0,1.0,2024-06-01,1,4.878048780487805,1.1494252873563218,99.0909090909091,22.6,single,False,3.1,1,2024-05-26,31.0,3,36.14,2
Like Crazy (Deep House Remix),2024-06-01,47.0,Jimin,72.0,4,2024-05-30,48.0,1,46.0,3,1.0,72.0,0.0,2024-06-03,2,2.4390243902439024,0.0,98.1818181818182,20.86,single,False,3.01,5,2024-05-19,47.0,9,43.7,3
Like Crazy (UK Garage Remix),2024-06-01,50.0,Jimin,72.0,3,2024-05-28,44.0,3,50.0,1,0.0,72.0,0.0,2024-06-01,0,0.0,0.0,100.0,20.0,single,False,3.51,5,2024-05-19,49.0,8,42.13,1
Love Always Run Away,2024-06-02,50.0,Lim Young Woong,58.0,5,2024-05-31,49.0,1,47.0,2,3.0,58.0,0.0,2024-06-03,1,7.317073170731707,0.0,99.0909090909091,23.48,single,False,4.05,2,2024-05-18,50.0,14,52.99,2
Promise,2024-06-02,42.0,Jimin,77.0,4,2024-05-30,42.0,2,42.0,1,0.0,77.0,0.0,2024-06-02,0,0.0,0.0,100.0,20.0,single,False,2.52,1,2024-05-18,48.0,9,43.61,1
I Love You,2024-06-03,44.0,Lim Young Woong,56.0,3,2024-05-31,50.0,2,43.0,4,1.0,56.0,0.0,2024-06-05,2,2.4390243902439024,0.0,98.1818181818182,20.86,album,False,3.98,12,2024-05-19,50.0,12,48.14,4
Lovely Touch,2024-06-03,48.0,Lim Young Woong,56.0,2,2024-05-24,45.0,9,48.0,1,0.0,56.0,0.0,2024-06-03,0,0.0,0.0,100.0,20.0,album,False,3.25,12,2024-05-23,49.0,5,37.68,1
NIGHT DANCER - BIG Naughty Remix,2024-06-03,50.0,imase & BIG Naughty,59.0,2,2024-05-23,41.0,10,37.0,7,13.0,61.0,2.0,2024-06-05,2,31.70731707317073,2.2988505747126435,98.1818181818182,36.18,single,False,3.51,2,2024-05-21,50.0,1,41.56,7
Like Crazy (UK Garage Remix),2024-06-03,49.0,Jimin,72.0,4,2024-06-01,50.0,1,49.0,1,0.0,72.0,0.0,2024-06-03,0,0.0,0.0,100.0,20.0,single,False,3.51,5,2024-05-19,49.0,8,42.13,1
Dangerously,2024-06-04,47.0,Charlie Puth,48.0,2,2024-06-02,47.0,1,44.0,5,3.0,63.0,15.0,2024-06-05,1,7.317073170731707,17.24137931034483,99.0909090909091,28.65,album,False,3.32,14,2024-05-18,43.0,4,41.46,5
Love Me Like This,2024-06-05,50.0,NMIXX,79.0,2,2024-06-02,46.0,2,50.0,1,0.0,79.0,0.0,2024-06-05,0,0.0,0.0,100.0,20.0,single,False,3.15,6,2024-05-18,37.0,2,33.24,1
Lovely Touch,2024-06-05,49.0,Lim Young Woong,56.0,3,2024-06-03,48.0,1,48.0,2,1.0,56.0,0.0,2024-06-06,1,2.4390243902439024,0.0,99.0909090909091,21.04,album,False,3.25,12,2024-05-23,49.0,5,38.11,2
Teddy Bear,2024-06-05,46.0,STAYC,73.0,5,2024-06-02,49.0,2,46.0,1,0.0,73.0,0.0,2024-06-05,0,0.0,0.0,100.0,20.0,single,False,3.16,2,2024-05-18,47.0,4,36.2,1
Candy (Feat. Zion.T),2024-06-05,45.0,Jay Park,65.0,3,2024-06-01,45.0,3,45.0,1,0.0,65.0,0.0,2024-06-05,0,0.0,0.0,100.0,20.0,single,False,3.1,1,2024-05-26,31.0,3,34.72,1
Love Always Run Away,2024-06-05,48.0,Lim Young Woong,58.0,6,2024-06-03,47.0,1,46.0,3,2.0,58.0,0.0,2024-06-06,1,4.878048780487805,0.0,99.0909090909091,22.26,single,False,4.05,2,2024-05-18,50.0,14,52.22,3
Fighting (Feat. Lee Young Ji),2024-06-06,49.0,BSS,78.0,2,2024-06-02,45.0,3,49.0,2,0.0,78.0,0.0,2024-06-06,0,0.0,0.0,100.0,20.0,single,False,3.41,3,2024-05-18,44.0,1,31.76,2
VIBE (feat. Jimin of BTS),2024-06-06,45.0,TAEYANG,69.0,3,2024-06-04,36.0,1,28.0,40,17.0,72.0,3.0,2024-06-18,12,41.46341463414634,3.4482758620689653,89.0909090909091,39.58,album,False,2.93,6,2024-05-18,36.0,7,50.34,40
People Pt.2 (feat. IU),2024-06-07,45.0,Agust D,80.0,2,2024-06-03,43.0,3,45.0,1,0.0,80.0,0.0,2024-06-07,0,0.0,0.0,100.0,20.0,album,False,3.57,10,2024-05-18,38.0,2,33.24,1
Love Me Like This,2024-06-07,50.0,NMIXX,30.0,3,2024-06-05,50.0,1,50.0,1,0.0,30.0,0.0,2024-06-07,0,0.0,0.0,100.0,20.0,single,False,3.15,6,2024-05-18,37.0,2,33.24,1
Promise,2024-06-08,50.0,Jimin,77.0,5,2024-06-02,42.0,5,50.0,1,0.0,77.0,0.0,2024-06-08,0,0.0,0.0,100.0,20.0,single,False,2.52,1,2024-05-18,48.0,9,43.61,1
Like Crazy (Deep House Remix),2024-06-08,45.0,Jimin,72.0,5,2024-06-03,46.0,4,45.0,1,0.0,72.0,0.0,2024-06-08,0,0.0,0.0,100.0,20.0,single,False,3.01,5,2024-05-19,47.0,9,43.61,1
With you,2024-06-08,44.0,Jimin & HA SUNG WOON,76.0,2,2024-05-20,50.0,18,20.0,17,24.0,76.0,0.0,2024-06-21,13,58.53658536585365,0.0,88.18181818181819,46.9,single,False,3.37,2,2024-05-20,50.0,4,50.31,17
Like Crazy (UK Garage Remix),2024-06-08,49.0,Jimin,71.0,5,2024-06-03,49.0,4,49.0,1,0.0,71.0,0.0,2024-06-08,0,0.0,0.0,100.0,20.0,single,False,3.51,5,2024-05-19,49.0,8,42.13,1
Dance The Night (From Barbie The Album),2024-06-09,46.0,Dua Lipa,90.0,2,2024-06-03,42.0,5,46.0,1,0.0,90.0,0.0,2024-06-09,0,0.0,0.0,100.0,20.0,single,False,2.94,1,2024-06-03,42.0,3,34.72,1
A bientot,2024-06-09,44.0,Lim Young Woong,58.0,2,2024-06-07,41.0,1,40.0,12,4.0,58.0,0.0,2024-06-10,1,9.75609756097561,0.0,99.0909090909091,24.7,album,False,4.27,12,2024-05-18,41.0,22,65.62,12
Love Always Run Away,2024-06-09,48.0,Lim Young Woong,58.0,7,2024-06-07,48.0,1,47.0,2,1.0,58.0,0.0,2024-06-10,1,2.4390243902439024,0.0,99.0909090909091,21.04,single,False,4.05,2,2024-05-18,50.0,14,51.45,2
Candy (Feat. Zion.T),2024-06-09,50.0,Jay Park,66.0,4,2024-06-05,45.0,3,50.0,1,0.0,66.0,0.0,2024-06-09,0,0.0,0.0,100.0,20.0,single,False,3.1,1,2024-05-26,31.0,3,34.72,1
Like Crazy (UK Garage Remix),2024-06-10,48.0,Jimin,71.0,6,2024-06-08,49.0,1,38.0,8,10.0,71.0,0.0,2024-06-11,1,24.390243902439025,0.0,99.0909090909091,32.01,single,False,3.51,5,2024-05-19,49.0,8,49.52,8
Promise,2024-06-10,50.0,Jimin,77.0,6,2024-06-08,50.0,1,31.0,17,19.0,77.0,0.0,2024-06-22,12,46.34146341463415,0.0,89.0909090909091,40.99,single,False,2.52,1,2024-05-18,48.0,9,54.19,17
I Love You,2024-06-10,46.0,Lim Young Woong,56.0,4,2024-06-06,43.0,3,46.0,2,0.0,56.0,0.0,2024-06-10,0,0.0,0.0,100.0,20.0,album,False,3.98,12,2024-05-19,50.0,12,48.05,2
Like Crazy (Deep House Remix),2024-06-10,45.0,Jimin,71.0,6,2024-06-08,45.0,1,36.0,8,9.0,71.0,0.0,2024-06-12,2,21.951219512195124,0.0,98.1818181818182,30.61,single,False,3.01,5,2024-05-19,47.0,9,49.88,8
Kill Bill,2024-06-11,49.0,SZA,94.0,3,2024-06-09,49.0,1,44.0,9,5.0,94.0,0.0,2024-06-18,7,12.195121951219512,0.0,93.63636363636364,24.82,album,False,2.57,23,2024-05-18,45.0,3,36.18,9
Vancouver,2024-06-12,50.0,BIG Naughty,59.0,2,2024-06-10,39.0,1,50.0,2,0.0,59.0,0.0,2024-06-12,0,0.0,0.0,100.0,20.0,single,False,3.6,2,2024-06-05,41.0,2,33.24,2
Love Always Run Away,2024-06-13,47.0,Lim Young Woong,58.0,8,2024-06-10,47.0,2,47.0,1,0.0,58.0,0.0,2024-06-13,0,0.0,0.0,100.0,20.0,single,False,4.05,2,2024-05-18,50.0,14,51.01,1
Dangerously,2024-06-13,49.0,Charlie Puth,64.0,3,2024-06-08,46.0,4,49.0,1,0.0,64.0,0.0,2024-06-13,0,0.0,0.0,100.0,20.0,album,False,3.32,14,2024-05-18,43.0,4,36.2,1
I Love You,2024-06-13,46.0,Lim Young Woong,56.0,5,2024-06-11,50.0,1,46.0,2,0.0,56.0,0.0,2024-06-13,0,0.0,0.0,100.0,20.0,album,False,3.98,12,2024-05-19,50.0,12,48.05,2
Like Crazy (Instrumental),2024-06-14,49.0,Jimin,68.0,2,2024-06-12,47.0,1,48.0,2,1.0,68.0,0.0,2024-06-15,1,2.4390243902439024,0.0,99.0909090909091,21.04,single,False,3.54,5,2024-06-11,48.0,2,33.67,2
Bite Me,2024-06-14,47.0,ENHYPEN,88.0,2,2024-06-10,49.0,3,47.0,5,0.0,89.0,1.0,2024-06-14,0,0.0,1.1494252873563218,100.0,20.34,single,False,2.63,6,2024-05-24,39.0,1,31.97,5
Filter,2024-06-14,43.0,BTS,75.0,2,2024-06-12,46.0,1,43.0,2,0.0,75.0,0.0,2024-06-14,0,0.0,0.0,100.0,20.0,album,False,3.0,20,2024-06-12,46.0,3,34.72,2
Haegeum,2024-06-16,48.0,Agust D,90.0,2,2024-06-12,49.0,3,44.0,3,4.0,90.0,0.0,2024-06-17,1,9.75609756097561,0.0,99.0909090909091,24.7,album,False,2.82,10,2024-05-18,25.0,5,40.43,3
Dangerously,2024-06-16,44.0,Charlie Puth,64.0,4,2024-06-13,49.0,2,42.0,5,2.0,64.0,0.0,2024-06-19,3,4.878048780487805,0.0,97.27272727272728,21.89,album,False,3.32,14,2024-05-18,43.0,4,36.72,5
I Don’t Think That I Like Her,2024-06-16,49.0,Charlie Puth,73.0,2,2024-05-29,47.0,17,49.0,1,0.0,73.0,0.0,2024-06-16,0,0.0,0.0,100.0,20.0,album,False,3.14,12,2024-05-29,47.0,4,36.2,1
I Don’t Think That I Like Her,2024-06-18,49.0,Charlie Puth,73.0,3,2024-06-16,49.0,1,46.0,3,3.0,73.0,0.0,2024-06-19,1,7.317073170731707,0.0,99.0909090909091,23.48,album,False,3.14,12,2024-05-29,47.0,4,38.18,3
LOVE DIVE,2024-06-19,48.0,IVE,83.0,4,2024-05-29,49.0,20,48.0,1,0.0,83.0,0.0,2024-06-19,0,0.0,0.0,100.0,20.0,single,False,2.95,2,2024-05-18,49.0,3,34.72,1
Like Crazy (UK Garage Remix),2024-06-20,42.0,Jimin,71.0,7,2024-06-17,48.0,2,35.0,5,7.0,71.0,0.0,2024-06-22,2,17.073170731707318,0.0,98.1818181818182,28.17,single,False,3.51,5,2024-05-19,49.0,8,46.85,5
Like Crazy (Deep House Remix),2024-06-20,43.0,Jimin,71.0,7,2024-06-17,46.0,2,33.0,5,10.0,71.0,0.0,2024-06-22,2,24.390243902439025,0.0,98.1818181818182,31.83,single,False,3.01,5,2024-05-19,47.0,9,50.66,5
Haegeum,2024-06-21,50.0,Agust D,90.0,3,2024-06-18,45.0,2,29.0,114,21.0,90.0,0.0,2024-08-12,52,51.21951219512195,0.0,52.727272727272734,36.16,album,False,2.82,10,2024-05-18,25.0,5,36.11,114
