song,reentry_date,reentry_position,artist,reentry_popularity,entry_number,exit_date,last_position,days_outside
LOVE DIVE,2024-05-21,49.0,IVE,83.0,2,2024-05-19,48.0,1
Teddy Bear,2024-05-21,47.0,STAYC,74.0,2,2024-05-18,47.0,2
Kill Bill,2024-05-21,46.0,SZA,94.0,2,2024-05-19,46.0,1
Love Always Run Away,2024-05-23,47.0,Lim Young Woong,58.0,2,2024-05-18,50.0,4
VIBE (feat. Jimin of BTS),2024-05-24,43.0,TAEYANG,68.0,2,2024-05-22,49.0,1
Interlude : Dive,2024-05-24,48.0,Jimin,77.0,2,2024-05-20,38.0,3
Love Always Run Away,2024-05-25,50.0,Lim Young Woong,58.0,3,2024-05-23,47.0,1
Like Crazy (UK Garage Remix),2024-05-28,44.0,Jimin,72.0,2,2024-05-20,47.0,7
Promise,2024-05-28,45.0,Jimin,77.0,2,2024-05-20,43.0,7
Like Crazy (Deep House Remix),2024-05-28,43.0,Jimin,73.0,2,2024-05-20,46.0,7
LOVE DIVE,2024-05-29,49.0,IVE,83.0,3,2024-05-22,50.0,6
Teddy Bear,2024-05-29,45.0,STAYC,74.0,3,2024-05-27,49.0,1
Promise,2024-05-30,42.0,Jimin,77.0,3,2024-05-28,45.0,1
Like Crazy (Deep House Remix),2024-05-30,48.0,Jimin,72.0,3,2024-05-28,43.0,1
Love Always Run Away,2024-05-30,49.0,Lim Young Woong,58.0,4,2024-05-25,50.0,4
I Love You,2024-05-30,46.0,Lim Young Woong,56.0,2,2024-05-27,47.0,2
Teddy Bear,2024-05-31,48.0,STAYC,74.0,4,2024-05-29,45.0,1
Candy (Feat. Zion.T),2024-05-31,47.0,Jay Park,62.0,2,2024-05-28,49.0,2
Like Crazy (Deep House Remix),2024-06-01,47.0,Jimin,72.0,4,2024-05-30,48.0,1
Like Crazy (UK Garage Remix),2024-06-01,50.0,Jimin,72.0,3,2024-05-28,44.0,3
Love Always Run Away,2024-06-02,50.0,Lim Young Woong,58.0,5,2024-05-31,49.0,1
Promise,2024-06-02,42.0,Jimin,77.0,4,2024-05-30,42.0,2
I Love You,2024-06-03,44.0,Lim Young Woong,56.0,3,2024-05-31,50.0,2
Lovely Touch,2024-06-03,48.0,Lim Young Woong,56.0,2,2024-05-24,45.0,9
NIGHT DANCER - BIG Naughty Remix,2024-06-03,50.0,imase & BIG Naughty,59.0,2,2024-05-23,41.0,10
Like Crazy (UK Garage Remix),2024-06-03,49.0,Jimin,72.0,4,2024-06-01,50.0,1
Dangerously,2024-06-04,47.0,Charlie Puth,48.0,2,2024-06-02,47.0,1
Love Me Like This,2024-06-05,50.0,NMIXX,79.0,2,2024-06-02,46.0,2
Lovely Touch,2024-06-05,49.0,Lim Young Woong,56.0,3,2024-06-03,48.0,1
Teddy Bear,2024-06-05,46.0,STAYC,73.0,5,2024-06-02,49.0,2
Candy (Feat. Zion.T),2024-06-05,45.0,Jay Park,65.0,3,2024-06-01,45.0,3
Love Always Run Away,2024-06-05,48.0,Lim Young Woong,58.0,6,2024-06-03,47.0,1
Fighting (Feat. Lee Young Ji),2024-06-06,49.0,BSS,78.0,2,2024-06-02,45.0,3
VIBE (feat. Jimin of BTS),2024-06-06,45.0,TAEYANG,69.0,3,2024-06-04,36.0,1
People Pt.2 (feat. IU),2024-06-07,45.0,Agust D,80.0,2,2024-06-03,43.0,3
Love Me Like This,2024-06-07,50.0,NMIXX,30.0,3,2024-06-05,50.0,1
Promise,2024-06-08,50.0,Jimin,77.0,5,2024-06-02,42.0,5
Like Crazy (Deep House Remix),2024-06-08,45.0,Jimin,72.0,5,2024-06-03,46.0,4
With you,2024-06-08,44.0,Jimin & HA SUNG WOON,76.0,2,2024-05-20,50.0,18
Like Crazy (UK Garage Remix),2024-06-08,49.0,Jimin,71.0,5,2024-06-03,49.0,4
Dance The Night (From Barbie The Album),2024-06-09,46.0,Dua Lipa,90.0,2,2024-06-03,42.0,5
A bientot,2024-06-09,44.0,Lim Young Woong,58.0,2,2024-06-07,41.0,1
Love Always Run Away,2024-06-09,48.0,Lim Young Woong,58.0,7,2024-06-07,48.0,1
Candy (Feat. Zion.T),2024-06-09,50.0,Jay Park,66.0,4,2024-06-05,45.0,3
Like Crazy (UK Garage Remix),2024-06-10,48.0,Jimin,71.0,6,2024-06-08,49.0,1
Promise,2024-06-10,50.0,Jimin,77.0,6,2024-06-08,50.0,1
I Love You,2024-06-10,46.0,Lim Young Woong,56.0,4,2024-06-06,43.0,3
Like Crazy (Deep House Remix),2024-06-10,45.0,Jimin,71.0,6,2024-06-08,45.0,1
Kill Bill,2024-06-11,49.0,SZA,94.0,3,2024-06-09,49.0,1
Vancouver,2024-06-12,50.0,BIG Naughty,59.0,2,2024-06-10,39.0,1
Love Always Run Away,2024-06-13,47.0,Lim Young Woong,58.0,8,2024-06-10,47.0,2
Dangerously,2024-06-13,49.0,Charlie Puth,64.0,3,2024-06-08,46.0,4
I Love You,2024-06-13,46.0,Lim Young Woong,56.0,5,2024-06-11,50.0,1
Like Crazy (Instrumental),2024-06-14,49.0,Jimin,68.0,2,2024-06-12,47.0,1
Bite Me,2024-06-14,47.0,ENHYPEN,88.0,2,2024-06-10,49.0,3
Filter,2024-06-14,43.0,BTS,75.0,2,2024-06-12,46.0,1
Haegeum,2024-06-16,48.0,Agust D,90.0,2,2024-06-12,49.0,3
Dangerously,2024-06-16,44.0,Charlie Puth,64.0,4,2024-06-13,49.0,2
I Don’t Think That I Like Her,2024-06-16,49.0,Charlie Puth,73.0,2,2024-05-29,47.0,17
I Don’t Think That I Like Her,2024-06-18,49.0,Charlie Puth,73.0,3,2024-06-16,49.0,1
LOVE DIVE,2024-06-19,48.0,IVE,83.0,4,2024-05-29,49.0,20
Like Crazy (UK Garage Remix),2024-06-20,42.0,Jimin,71.0,7,2024-06-17,48.0,2
Like Crazy (Deep House Remix),2024-06-20,43.0,Jimin,71.0,7,2024-06-17,46.0,2
Haegeum,2024-06-21,50.0,Agust D,90.0,3,2024-06-18,45.0,2
Christmas Love,2024-06-21,48.0,Jimin,68.0,2,2024-06-18,50.0,2
Like Crazy (Instrumental),2024-06-21,41.0,Jimin,68.0,3,2024-06-15,48.0,5
Filter,2024-06-21,47.0,BTS,76.0,3,2024-06-15,45.0,5
The Planet,2024-06-22,42.0,BTS,88.0,2,2024-06-20,46.0,1
A bientot,2024-06-22,46.0,Lim Young Woong,58.0,3,2024-06-20,48.0,1
FLOWER,2024-06-23,48.0,JISOO,85.0,2,2024-06-21,49.0,1
Kill Bill,2024-06-23,47.0,SZA,94.0,4,2024-06-19,47.0,3
I Don’t Think That I Like Her,2024-06-25,48.0,Charlie Puth,73.0,4,2024-06-20,49.0,4
Like Crazy (UK Garage Remix),2024-06-27,46.0,Jimin,71.0,8,2024-06-24,49.0,2
Like Crazy (Deep House Remix),2024-06-27,45.0,Jimin,71.0,8,2024-06-24,47.0,2
Promise,2024-06-28,42.0,Jimin,77.0,7,2024-06-26,45.0,1
With you,2024-06-28,43.0,Jimin & HA SUNG WOON,76.0,3,2024-06-24,43.0,3
FLOWER,2024-06-29,44.0,JISOO,85.0,3,2024-06-27,40.0,1
I Don’t Think That I Like Her,2024-07-01,50.0,Charlie Puth,74.0,5,2024-06-26,48.0,4
Dangerously,2024-07-01,44.0,Charlie Puth,65.0,5,2024-06-20,50.0,10
People Pt.2 (feat. IU),2024-07-02,35.0,Agust D,78.0,3,2024-06-07,45.0,24
The Planet,2024-07-02,44.0,BTS,87.0,3,2024-06-24,48.0,7
Promise,2024-07-03,47.0,Jimin,77.0,8,2024-07-01,41.0,1
Like Crazy (UK Garage Remix),2024-07-03,50.0,Jimin,71.0,9,2024-07-01,42.0,1
Like Crazy (Deep House Remix),2024-07-03,49.0,Jimin,71.0,9,2024-07-01,39.0,1
Thirsty,2024-07-04,50.0,aespa,77.0,2,2024-07-02,49.0,1
Dare to Love (feat. BIG Naughty),2024-07-04,48.0,B.I,64.0,2,2024-07-01,48.0,2
With you,2024-07-05,50.0,Jimin & HA SUNG WOON,77.0,4,2024-06-28,43.0,6
Cruel Summer,2024-07-07,44.0,Taylor Swift,98.0,2,2024-07-04,35.0,2
Super,2024-07-07,47.0,SEVENTEEN,88.0,2,2024-07-04,33.0,2
Promise,2024-07-07,46.0,Jimin,77.0,9,2024-07-04,49.0,2
Attention,2024-07-07,37.0,NewJeans,85.0,2,2024-07-04,29.0,2
Cupid - Twin Ver.,2024-07-07,43.0,FIFTY FIFTY,99.0,2,2024-07-04,31.0,2
Sunflower - Spider-Man: Into the Spider-Verse,2024-07-07,50.0,Post Malone,89.0,2,2024-07-04,32.0,2
Rainbow,2024-07-08,50.0,Lim Young Woong,60.0,2,2024-07-04,37.0,3
Cupid,2024-07-09,50.0,FIFTY FIFTY,87.0,2,2024-07-04,36.0,4
Like Crazy (Deep House Remix),2024-07-09,46.0,Jimin,71.0,10,2024-07-03,49.0,5
Rainbow,2024-07-10,43.0,Lim Young Woong,60.0,3,2024-07-08,50.0,1
Sunflower - Spider-Man: Into the Spider-Verse,2024-07-10,46.0,Post Malone,89.0,3,2024-07-08,45.0,1
"Our Blues, Our Life",2024-07-10,45.0,Lim Young Woong,60.0,2,2024-07-04,40.0,5
A bientot,2024-07-11,47.0,Lim Young Woong,59.0,4,2024-07-04,47.0,6
Promise,2024-07-12,49.0,Jimin,77.0,10,2024-07-10,47.0,1
A bientot,2024-07-13,50.0,Lim Young Woong,59.0,5,2024-07-11,47.0,1
The Planet,2024-07-16,46.0,BTS,86.0,4,2024-07-04,43.0,11
Sunflower - Spider-Man: Into the Spider-Verse,2024-07-16,50.0,Post Malone,89.0,4,2024-07-14,49.0,1
In Bloom,2024-07-17,48.0,ZEROBASEONE,76.0,2,2024-07-14,44.0,2
A bientot,2024-07-17,50.0,Lim Young Woong,59.0,6,2024-07-13,50.0,3
ANTIFRAGILE,2024-07-17,49.0,LE SSERAFIM,79.0,2,2024-07-04,42.0,12
Broken Melodies,2024-07-20,44.0,NCT DREAM,56.0,2,2024-06-30,50.0,19
VIBE (feat. Jimin of BTS),2024-07-20,49.0,TAEYANG,72.0,4,2024-07-15,50.0,4
Sunflower - Spider-Man: Into the Spider-Verse,2024-07-21,48.0,Post Malone,88.0,5,2024-07-16,50.0,4
In Bloom,2024-07-22,50.0,ZEROBASEONE,79.0,3,2024-07-19,49.0,2
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),2024-07-22,46.0,Halsey & SUGA,85.0,2,2024-07-19,47.0,2
FLOWER,2024-07-23,45.0,JISOO,84.0,4,2024-06-30,44.0,22
A bientot,2024-07-23,50.0,Lim Young Woong,58.0,7,2024-07-18,50.0,4
vampire,2024-07-25,48.0,Olivia Rodrigo,98.0,2,2024-07-22,42.0,2
Dance The Night (From Barbie The Album),2024-07-26,45.0,Dua Lipa,95.0,3,2024-06-09,46.0,46
Cupid - Twin Ver.,2024-07-26,49.0,FIFTY FIFTY,97.0,3,2024-07-21,45.0,4
Seven (feat. Latto) (Band Ver.),2024-07-27,34.0,Jung Kook & Latto,77.0,2,2024-07-22,16.0,4
My You,2024-07-27,49.0,Jung Kook,87.0,2,2024-07-22,35.0,4
Seven (feat. Latto) (Summer Mix),2024-07-27,35.0,Jung Kook & Latto,77.0,2,2024-07-22,12.0,4
K-POP,2024-07-29,46.0,Travis Scott & Bad Bunny & The Weeknd,91.0,2,2024-07-26,47.0,2
Dance The Night (From Barbie The Album),2024-07-30,50.0,Dua Lipa,96.0,4,2024-07-28,41.0,1
If We Ever Meet Again,2024-07-30,40.0,Lim Young Woong,61.0,2,2024-07-28,43.0,1
Interlude : Dive,2024-07-30,44.0,Jimin,78.0,3,2024-07-28,45.0,1
Let's Say Goodbye,2024-07-30,38.0,Parc Jae Jung,53.0,2,2024-07-28,39.0,1
"Angel Pt. 2 (feat. Jimin of BTS, Charlie Puth and Muni Long)",2024-07-31,45.0,Fast & Furious: The Fast Saga & Jimin & BTS,74.0,2,2024-07-28,46.0,2
My You,2024-07-31,50.0,Jung Kook,86.0,3,2024-07-28,49.0,2
Super,2024-07-31,49.0,SEVENTEEN,86.0,3,2024-07-28,48.0,2
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),2024-07-31,41.0,Halsey & SUGA,84.0,3,2024-07-28,50.0,2
Rainbow,2024-07-31,46.0,Lim Young Woong,59.0,4,2024-07-26,48.0,4
vampire,2024-07-31,48.0,Olivia Rodrigo,98.0,3,2024-07-28,42.0,2
"Our Blues, Our Life",2024-07-31,47.0,Lim Young Woong,59.0,3,2024-07-26,50.0,4
Seven (feat. Latto) (Band Ver.),2024-08-02,49.0,Jung Kook & Latto,77.0,3,2024-07-30,46.0,2
My You,2024-08-03,47.0,Jung Kook,85.0,4,2024-08-01,50.0,1
A bientot,2024-08-04,50.0,Lim Young Woong,57.0,8,2024-07-25,46.0,9
Seven (feat. Latto) (Band Ver.),2024-08-05,49.0,Jung Kook & Latto,77.0,4,2024-08-02,49.0,2
Cupid - Twin Ver.,2024-08-06,50.0,FIFTY FIFTY,96.0,4,2024-07-26,49.0,10
A bientot,2024-08-06,49.0,Lim Young Woong,57.0,9,2024-08-04,50.0,1
My You,2024-08-07,50.0,Jung Kook,85.0,5,2024-08-04,48.0,2
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),2024-08-07,49.0,Halsey & SUGA,82.0,4,2024-08-05,45.0,1
Love Always Run Away,2024-08-09,50.0,Lim Young Woong,57.0,9,2024-06-13,47.0,56
My You,2024-08-10,50.0,Jung Kook,84.0,6,2024-08-08,50.0,1
Love Always Run Away,2024-08-11,50.0,Lim Young Woong,57.0,10,2024-08-09,50.0,1
Stay Alive (Prod. SUGA of BTS),2024-08-12,49.0,Jung Kook,80.0,2,2024-07-18,36.0,24
SOS,2024-08-12,47.0,KANGDANIEL,73.0,2,2024-08-10,30.0,1
Kitsch,2024-08-17,49.0,IVE,77.0,2,2024-08-15,50.0,1
Kitsch,2024-08-19,50.0,IVE,76.0,3,2024-08-17,49.0,1
"Our Blues, Our Life",2024-08-20,49.0,Lim Young Woong,58.0,4,2024-08-17,47.0,2
Intro: Singularity,2024-08-21,49.0,BTS,71.0,2,2024-08-18,45.0,2
SOS,2024-08-23,45.0,KANGDANIEL,72.0,3,2024-08-21,41.0,1
"Our Blues, Our Life",2024-08-24,47.0,Lim Young Woong,58.0,5,2024-08-20,49.0,3
Sugarcoat (NATTY Solo),2024-08-24,44.0,KISS OF LIFE,73.0,2,2024-08-22,50.0,1
"Angel Pt. 2 (feat. Jimin of BTS, Charlie Puth and Muni Long)",2024-08-24,50.0,Fast & Furious: The Fast Saga & Jimin & BTS,72.0,3,2024-08-19,47.0,4
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),2024-08-25,50.0,Halsey & SUGA,80.0,5,2024-08-23,46.0,1
Intro: Singularity,2024-08-27,49.0,BTS,71.0,3,2024-08-23,50.0,3
A bientot,2024-08-28,49.0,Lim Young Woong,57.0,10,2024-08-12,44.0,15
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),2024-08-30,47.0,Halsey & SUGA,79.0,6,2024-08-26,48.0,3
SOS,2024-08-31,49.0,KANGDANIEL,70.0,4,2024-08-23,45.0,7
Attention,2024-09-01,49.0,NewJeans,83.0,3,2024-08-30,48.0,1
Rainbow,2024-09-01,50.0,Lim Young Woong,58.0,5,2024-08-30,50.0,1
